director,genre,gross,name,rating,runtime,score,star,votes,writer
Marek Kanievska,Crime,12396383,Less Than Zero,R,98,6.4,Andrew McCarthy,15500,Bret Easton Ellis
Roger Donaldson,Action,35509515,No Way Out,R,114,7.1,Kevin Costner,28684,Kenneth Fearing
Matthew Robbins,Comedy,32945797,*batteries not included,PG,106,6.6,Hume Cronyn,25330,Mick Garris
Charles Shyer,Comedy,26712476,Baby Boom,PG,110,6.1,Diane Keaton,11414,Nancy Meyers
Bruce Robinson,Comedy,1544889,Withnail & I,R,107,7.8,Richard E. Grant,33285,Bruce Robinson
Jeffrey Bloom,Drama,15151736,Flowers in the Attic,PG-13,93,5.7,Louise Fletcher,7993,Virginia C. Andrews
James L. Brooks,Comedy,51249404,Broadcast News,R,133,7.2,William Hurt,22802,James L. Brooks
Tibor Takács,Fantasy,13539458,Túnel al infierno,PG-13,85,6,Stephen Dorff,11435,Michael Nankin
Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,90,3.6,Christopher Reeve,35866,Joe Shuster
Michael Gornick,Comedy,14000000,Creepshow 2,R,92,6,George Kennedy,17500,Stephen King
Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,95,3.2,Jason Bateman,8905,Jeph Loeb
Fred Schepisi,Comedy,40050884,Roxanne,PG,107,6.6,Steve Martin,34794,Edmond Rostand
Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,111,6.5,Michael J. Fox,24685,Jim Cash
Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,106,5.9,Dan Aykroyd,27387,Dan Aykroyd
Alan Clarke,Comedy,124167,"Rita, Sue and Bob Too",R,93,6.4,Siobhan Finneran,2747,Andrea Dunbar
Blake Edwards,Comedy,39321715,Blind Date,PG-13,95,5.9,Kim Basinger,17903,Dale Launer
Ethan Wiley,Comedy,7800000,House II: The Second Story,PG-13,88,5.4,Arye Gross,8302,Fred Dekker
Jim Drake,Comedy,28061343,Police Academy 4: Citizens on Patrol,PG,88,4.8,Steve Guttenberg,33955,Neal Israel
Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,100,2.7,Anthony Newley,6348,Linda Palmer
Danny DeVito,Comedy,57915972,Throw Momma from the Train,PG-13,88,6.2,Danny DeVito,28550,Stu Silver
Joseph Ruben,Horror,2488740,The Stepfather,R,89,6.8,Terry O'Quinn,9959,Carolyn Lefcourt
Jack Sholder,Action,9747988,The Hidden,R,96,7,Kyle MacLachlan,13878,Jim Kouf
Joe Dante,Comedy,548696,Amazon Women on the Moon,R,85,6.2,Rosanna Arquette,8755,Michael Barrie
Barbet Schroeder,Comedy,3221568,Barfly,R,100,7.3,Mickey Rourke,15647,Charles Bukowski
Phil Joanou,Comedy,3685862,Three O'Clock High,PG-13,97,7.2,Casey Siemaszko,8970,Richard Christian Matheson
Gabriel Axel,Comedy,4398938,Babette's Feast,G,102,7.8,Stéphane Audran,14838,Karen Blixen
John Schlesinger,Crime,18753438,The Believers,R,114,6.1,Martin Sheen,4900,Mark Frost
James Toback,Comedy,13290368,The Pick-up Artist,PG-13,81,5.2,Molly Ringwald,5348,James Toback
Woody Allen,Comedy,14792779,Radio Days,PG,88,7.6,Mia Farrow,26467,Woody Allen
Robert Altman,Comedy,1028679,Aria,R,90,5.8,John Hurt,2243,Robert Altman
John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,PG,92,5.5,Jim Varney,9526,John R. Cherry III
Louis Malle,Drama,4542825,Au Revoir les Enfants,PG,104,8,Gaspard Manesse,25969,Louis Malle
Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,106,6.1,Tom Berenger,7854,Howard Franklin
James Foley,Comedy,7305209,Who's That Girl,PG,92,4.7,Madonna,8125,Andrew Smith
Richard Attenborough,Biography,5899797,Cry Freedom,PG,157,7.5,Denzel Washington,10692,John Briley
John Mackenzie,Thriller,12423831,The Fourth Protocol,R,119,6.5,Michael Caine,7532,George Axelrod
Hector Babenco,Drama,7393346,Ironweed,R,143,6.8,Jack Nicholson,6874,William Kennedy
Bob Rafelson,Crime,25205460,Black Widow,R,102,6.3,Debra Winger,7132,Ronald Bass
John Badham,Action,65673233,Stakeout,R,117,6.6,Richard Dreyfuss,20039,Jim Kouf
Rod Daniel,Comedy,34377585,Like Father Like Son,PG-13,96,5.1,Dudley Moore,4817,Lorne Cameron
Percy Adlon,Comedy,3587303,Bagdad Cafe,PG,95,7.5,Marianne Sägebrecht,10255,Eleonore Adlon
Andrey Konchalovskiy,Drama,769119,Shy People,R,100,6.9,Jill Clayburgh,940,Andrey Konchalovskiy
Joe Roth,Comedy,30063289,Revenge of the Nerds II: Nerds in Paradise,PG-13,88,4.9,Robert Carradine,11444,Tim Metcalfe
Bruce Pittman,Horror,2683519,Prom Night II,R,97,5.6,Lisa Schrage,3440,Ron Oliver
J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,99,5.3,Charles Bronson,6770,Brian Garfield
Jonathan Kaplan,Comedy,18532286,Project X,PG,108,6.1,Matthew Broderick,8879,Lawrence Lasker
William Phelps,Action,3832228,North Shore,PG,96,6.5,Matt Adler,1903,William Phelps
Élie Chouraqui,Action,519596,Man on Fire,R,87,5.9,Scott Glenn,1340,A.J. Quinnell
Ruggero Deodato,Fantasy,800000,The Barbarians,R,87,4.9,David Paul,2538,Alberto Piferi
Elaine May,Action,14375181,Ishtar,PG-13,107,4.2,Warren Beatty,9094,Elaine May
Robert Townsend,Comedy,5228617,Hollywood Shuffle,R,78,7,Robert Townsend,3009,Robert Townsend
Lawrence Bassoff,Comedy,1749956,Hunk,PG,102,4.6,John Allen Nelson,1042,Lawrence Bassoff
David Mamet,Crime,2585639,House of Games,R,102,7.3,Lindsay Crouse,17508,David Mamet
Peter Werner,Crime,2877571,No Man's Land,R,100,6.1,Charlie Sheen,3297,Dick Wolf
David Keith,Sci-Fi,1930001,The Curse,R,92,4.9,Wil Wheaton,1762,David Chaskin
Peter Yates,Crime,18782400,Suspect,R,121,6.6,Cher,7506,Eric Roth
Christopher Cain,Action,19734940,The Principal,R,109,6.2,Jim Belushi,7311,Frank Deese
John Boorman,Comedy,10021120,Hope and Glory,PG-13,113,7.4,Sarah Miles,10291,John Boorman
Arthur Hiller,Comedy,52864741,Outrageous Fortune,R,99,6.1,Shelley Long,6123,Leslie Dixon
Walter Hill,Action,11307844,Extreme Prejudice,R,96,6.6,Nick Nolte,4924,John Milius
Sam Firstenberg,Action,4000000,American Ninja 2: The Confrontation,R,90,4.8,Michael Dudikoff,6565,Gary Conway
John Sayles,Drama,1680358,Matewan,PG-13,135,7.9,Chris Cooper,6198,John Sayles
Bill Norton,Drama,1539000,Three for the Road,PG,88,5.3,Charlie Sheen,813,Richard Martini
Paul Weiland,Action,4916871,Leonard Part 6,PG,85,2.2,Bill Cosby,7387,Jonathan Reynolds
Jerry Schatzberg,Crime,1119112,Street Smart,R,97,6.4,Christopher Reeve,2096,David Freeman
Stephen Frears,Biography,1654743,Prick Up Your Ears,R,105,7.4,Gary Oldman,4799,Alan Bennett
Michael Cimino,Action,5406879,The Sicilian,R,115,5.3,Christopher Lambert,3889,Mario Puzo
Cheech Marin,Comedy,17355263,Born in East L.A.,R,85,5.9,Cheech Marin,4648,Cheech Marin
Paul Schrader,Drama,10489617,Light of Day,PG-13,107,5.5,Michael J. Fox,2101,Paul Schrader
Bille August,Drama,2053931,Pelle the Conqueror,PG-13,157,7.9,Pelle Hvenegaard,8321,Martin Andersen Nexø
Bill Froehlich,Comedy,1189709,Return to Horror High,R,95,4.2,Lori Lethin,2337,Bill Froehlich
Lyndall Hobbs,Comedy,13110903,Back to the Beach,PG,92,5.8,Frankie Avalon,2332,James Komack
Robert Collector,Horror,1149470,Nightflyers,R,89,4,Catherine Mary Stewart,796,George R.R. Martin
Tom Holland,Action,12046526,Fatal Beauty,R,104,5.3,Whoopi Goldberg,2652,Bill Svanoe
Jeff Bleckner,Adventure,300859,White Water Summer,PG,90,6.2,Kevin Bacon,4353,Manya Starr
Lindsay Anderson,Drama,1338198,The Whales of August,NOT RATED,90,7.6,Bette Davis,3416,David Berry
Bob Giraldi,Comedy,7019441,Hiding Out,PG-13,98,6.4,Jon Cryer,2584,Joe Menosky
Jimmy Huston,Comedy,174380,My Best Friend Is a Vampire,PG,89,6.1,Robert Sean Leonard,2690,Tab Murphy
Harley Cokeliss,Action,3060858,Malone,R,92,5.6,Burt Reynolds,1959,Christopher Frank
Steven Lisberger,Comedy,4215859,Hot Pursuit,PG-13,93,5.8,John Cusack,2768,Steven Lisberger
Dennis Feldman,Action,873903,Real Men,PG-13,85,6.2,Jim Belushi,3077,Dennis Feldman
Mike Hodges,Action,1432687,A Prayer for the Dying,R,107,6.4,Mickey Rourke,3731,Jack Higgins
Francis Ford Coppola,Drama,5262047,Gardens of Stone,R,111,6.4,James Caan,4273,Nicholas Proffitt
Gary Sherman,Action,7555000,Wanted: Dead or Alive,R,106,5.9,Rutger Hauer,3328,Michael Patrick Goodman
Janice Karman,Animation,6804312,The Chipmunk Adventure,G,100,7.2,Ross Bagdasarian Jr.,4383,Janice Karman
Stephen Carpenter,Horror,2407024,The Kindred,R,91,5.5,Rod Steiger,1211,Stephen Carpenter
Alan Rudolph,Comedy,4572845,Made in Heaven,PG,100,6.5,Timothy Hutton,2691,Bruce A. Evans
Emilio Estevez,Crime,5715174,Wisdom,R,109,5.7,Emilio Estevez,2659,Emilio Estevez
Michael Radford,Crime,3107551,White Mischief,R,107,6.3,Sarah Miles,2171,James Fox
Woody Allen,Drama,486434,September,PG,83,6.7,Elaine Stritch,7620,Woody Allen
John Huston,Drama,4370078,The Dead,PG,83,7.4,Anjelica Huston,5933,Tony Huston
Lance Hool,Action,562187,Steel Dawn,R,100,5,Patrick Swayze,3860,Doug Lefler
Renny Harlin,Crime,354704,Prison,R,102,5.9,Lane Smith,3019,Irwin Yablans
Martin Ritt,Drama,30950002,Nuts,R,116,6.7,Barbra Streisand,4996,Tom Topor
Barry Levinson,Comedy,25411386,Tin Men,R,112,6.5,Richard Dreyfuss,6960,Barry Levinson
Lionel Chetwynd,Drama,760000,The Hanoi Hilton,R,125,6,Michael Moriarty,763,Lionel Chetwynd
William Friedkin,Drama,796368,Rampage,R,97,6.3,Michael Biehn,1625,William P. Wood
Ben Bolt,Drama,1733017,The Big Town,R,109,5.9,Matt Dillon,1483,Clark Howard
David Leland,Comedy,3283832,Wish You Were Here,R,88,6.8,Emily Lloyd,2212,David Leland
Tamar Simon Hoffs,Comedy,2700000,The Allnighter,PG-13,108,4,Susanna Hoffs,904,Tamar Simon Hoffs
Peter Greenaway,Drama,287725,The Belly of an Architect,R,119,7,Brian Dennehy,4517,Peter Greenaway
John Flynn,Action,4278150,Best Seller,R,95,6.5,James Woods,3752,Larry Cohen
Mary Lambert,Drama,700000,Siesta,R,100,5.6,Ellen Barkin,1844,Patrice Chaplin
Michael Hoffman,Drama,316199,Promised Land,R,102,5.7,Jason Gedrick,1052,Michael Hoffman
Curtis Hanson,Crime,12640385,The Bedroom Window,R,112,6.4,Steve Guttenberg,3650,Anne Holden
Nikita Mikhalkov,Comedy,2201428,Dark Eyes,Not specified,117,7.6,Marcello Mastroianni,2421,Aleksandr Adabashyan
Amy Holden Jones,Fantasy,9868521,Maid to Order,PG,93,5.5,Ally Sheedy,2786,Amy Holden Jones
Daniel Petrie,Drama,225358,Square Dance,PG-13,112,6.1,Jason Robards,730,Alan Hines
Alex Cox,Action,210200,Straight to Hell,R,100,5.8,Sy Richardson,1924,Alex Cox
Hugh Wilson,Comedy,16337355,Burglar,R,103,5,Whoopi Goldberg,3453,Lawrence Block
Phil Alden Robinson,Comedy,999382,In the Mood,PG-13,98,6.1,Patrick Dempsey,778,Robert Kosberg
David Hugh Jones,Biography,1083486,84 Charing Cross Road,PG,100,7.5,Anne Bancroft,6285,Helene Hanff
Lee Harry,Horror,154323,"Silent Night, Deadly Night 2",R,88,3.5,Eric Freeman,4329,Michael Hickey
Tony Bill,Crime,969205,Five Corners,R,90,6.3,Jodie Foster,2584,John Patrick Shanley
Tom McLoughlin,Comedy,1988962,Date with an Angel,PG,105,5.8,Phoebe Cates,2163,Tom McLoughlin
Alex Cox,Biography,257043,Walker,R,94,6.6,Ed Harris,2684,Rudy Wurlitzer
Larry Cohen,Adventure,626724,Deadly Illusion,R,87,4.7,Billy Dee Williams,233,Larry Cohen
Wayne Wang,Mystery,406881,Slam Dance,R,92,5.3,Tom Hulce,1129,Don Keith Opper
Roger Young,Action,2228951,The Squeeze,PG-13,101,4.6,Michael Keaton,770,Daniel Taplitz
Terry Jones,Comedy,1744164,Personal Services,R,105,6.4,Julie Walters,1031,David Leland
Peter R. Hunt,Action,6075793,Assassination,PG-13,88,5.1,Charles Bronson,2255,Richard Sale
David DeCoteau,Horror,13133,Creepozoids,R,72,3.5,Linnea Quigley,1447,Dave Eisenstark
Abel Ferrara,Crime,1262091,China Girl,R,90,6.1,James Russo,1214,Nicholas St. John
Robert Benton,Comedy,5669831,Nadine,PG,83,5.5,Jeff Bridges,3267,Robert Benton
Arthur Penn,Drama,2413427,Dead of Winter,R,100,6.3,Mary Steenburgen,2694,Marc Shmuger
Corey Yuen,Adventure,108154,"No Retreat, No Surrender 2",R,104,5.1,Loren Avedon,1209,Maria Elena Cellino
Paul Newman,Drama,895904,The Glass Menagerie,PG,134,7.2,Joanne Woodward,1699,Tennessee Williams
Bigas Luna,Horror,228789,Anguish,R,86,6.7,Zelda Rubinstein,2611,Bigas Luna
Pat O'Connor,Drama,443524,A Month in the Country,PG,96,7.2,Colin Firth,1038,J.L. Carr
Jeff Burr,Action,1355728,From a Whisper to a Scream,R,99,6,Vincent Price,1489,C. Courtney Joyner
Frank Perry,Comedy,20419446,Hello Again,PG,96,5.1,Shelley Long,2493,Susan Isaacs
Christine Edzard,Drama,1025228,Little Dorrit,G,357,7.5,Derek Jacobi,886,Charles Dickens
Melvin Frank,Comedy,460608,Walk Like a Man,PG,86,4.6,Christopher Lloyd,1174,Robert Klane
Norman Mailer,Comedy,858250,Tough Guys Don't Dance,R,110,4.8,Ryan O'Neal,1025,Norman Mailer
Michael Schultz,Comedy,10348437,Disorderlies,PG,86,4.8,Darren Robinson,1708,Mark Feldberg
Bill Condon,Drama,743445,"Sister, Sister",R,91,5.5,Eric Stoltz,695,Bill Condon
Susan Seidelman,Comedy,1584970,Making Mr. Right,PG-13,98,5.3,John Malkovich,2101,Floyd Byars
Donald Cammell,Horror,225132,White of the Eye,R,100,6.4,David Keith,1342,China Kong
Rick Rosenthal,Drama,2189047,Russkies,PG,100,5.6,Whip Hubley,1126,Sheldon Lettich
Jerry Belson,Comedy,5711976,Surrender,PG,105,5.4,Sally Field,692,Jerry Belson
Bill Forsyth,Comedy,1083282,Housekeeping,PG,116,7.3,Christine Lahti,1596,Marilynne Robinson
John Duigan,Drama,213901,The Year My Voice Broke,PG-13,103,7.5,Noah Taylor,1647,John Duigan
Douglas Grossman,Crime,187920,Hell High,R,84,5,Maureen Mooney,464,Leo Evans
Diane Kurys,Drama,949451,A Man in Love,R,125,5.8,Peter Coyote,442,Diane Kurys
Bob Clark,Comedy,9518342,From the Hip,PG,111,6.2,Judd Nelson,1826,Bob Clark
Armyan Bernstein,Comedy,1025762,Cross My Heart,R,90,5.7,Martin Short,883,Armyan Bernstein
Robert Mandel,Adventure,3390043,Big Shots,PG-13,94,5.6,Ricky Busker,654,Joe Eszterhas
Michael Apted,Comedy,20240502,Critical Condition,R,100,5.2,Richard Pryor,2453,Denis Hamill
Fred Olen Ray,Action,41174,Cyclone,R,89,4.4,Heather Thomas,692,Paul Garson
Paul Aaron,Comedy,2136381,Morgan Stewart's Coming Home,PG-13,100,5.4,Jon Cryer,768,Ken Hixon
Dorothy Ann Puzo,Action,285885,Cold Steel,R,91,4.5,Brad Davis,592,Lisa M. Hansen
Ron Link,Comedy,21905,Zombie High,R,93,4.2,Virginia Madsen,716,Tim Doyle
Federico Fellini,Comedy,112560,Intervista,Not specified,100,7.1,Sergio Rubini,1926,Federico Fellini
Charlie Loventhal,Comedy,3922273,My Demon Lover,PG-13,90,4.6,Scott Valentine,945,Leslie Ray
David Irving,Fantasy,355253,Rumpelstiltskin,G,84,5.4,Amy Irving,444,Jacob Grimm
Lee H. Katzin,Action,307000,World Gone Wild,R,100,5.2,Bruce Dern,543,Jorge Zamacona
Peter Manoogian,Action,197791,Enemy Territory,R,89,6.5,Gary Frank,570,Stuart Kaminsky
Peter Del Monte,Drama,901364,Julia and Julia,R,98,5.7,Kathleen Turner,667,Peter Del Monte
Dominique Deruddere,Drama,119919,Crazy Love,Not specified,90,7,Josse De Pauw,949,Charles Bukowski
John D. Hancock,Drama,2325444,Weeds,R,115,6,Nick Nolte,717,Dorothy Tristan
Jean-Loup Hubert,Drama,760539,The Grand Highway,R,104,7.5,Anémone,1208,Jean-Loup Hubert
Ken Cameron,Drama,1155020,Peter Kenna's The Good Wife,R,100,5.8,Rachel Ward,435,Peter Kenna
Jerry London,Action,295000,Rent-a-Cop,R,96,4.3,Burt Reynolds,1347,Michael Blodgett
Éric Rohmer,Comedy,823243,Boyfriends and Girlfriends,PG,103,7.7,Emmanuelle Chaulet,2657,Éric Rohmer
Stephen Frears,Comedy,1196336,Sammy and Rosie Get Laid,Not specified,101,6.7,Shashi Kapoor,1226,Hanif Kureishi
Terry Leonard,Action,4546244,Death Before Dishonor,R,91,4.9,Fred Dryer,659,John Gatliff
Rick King,Thriller,500283,The Killing Time,R,94,5.4,Beau Bridges,763,Don Bohlinger
Peter Richardson,Action,200723,Eat the Rich,R,90,6,Al Pillay,1069,Peter Richardson
Burt Kennedy,Action,205507,The Trouble with Spies,PG-13,91,4,Donald Sutherland,252,Burt Kennedy
Joe Camp,Adventure,22257624,Benji the Hunted,G,88,6.3,Red Steagall,2244,Joe Camp
Fred Walton,Crime,1730337,The Rosary Murders,R,105,5.7,Donald Sutherland,960,William X. Kienzle
Jonathan Demme,Comedy,1092911,Swimming to Cambodia,R,85,7.8,Spalding Gray,1763,Spalding Gray
Jamaa Fanaka,Comedy,1392616,Penitentiary III,R,90,3.7,Leon Isaac Kennedy,372,Jamaa Fanaka
Robert Boris,Action,1327740,Steele Justice,R,95,4.8,Sela Ward,403,Robert Boris
Éric Rohmer,Comedy,215073,Four Adventures of Reinette and Mirabelle,NOT RATED,95,7.9,Joëlle Miquel,1331,Éric Rohmer
Robert Altman,Comedy,790000,Beyond Therapy,R,93,4.7,Julie Hagerty,944,Christopher Durang
Tim Burton,Comedy,73707461,Beetlejuice,PG,92,7.5,Alec Baldwin,206997,Michael McDowell
John Landis,Comedy,128152300,Coming to America,R,116,7,Eddie Murphy,130485,Eddie Murphy
Tom Holland,Horror,33244684,Child's Play,R,87,6.6,Catherine Hicks,67682,Don Mancini
John McTiernan,Action,83008852,Die Hard,R,131,8.2,Bruce Willis,647000,Roderick Thorp
Ron Howard,Action,57269863,Willow,PG,126,7.3,Val Kilmer,86056,George Lucas
Michael Lehmann,Comedy,1108462,Heathers,R,103,7.3,Winona Ryder,67238,Daniel Waters
Barry Levinson,Drama,172825435,Rain Man,R,133,8,Dustin Hoffman,408473,Barry Morrow
John Carpenter,Action,13008928,They Live,R,94,7.3,Roddy Piper,83379,Ray Nelson
Robert Zemeckis,Animation,156452370,Who Framed Roger Rabbit,PG,104,7.7,Bob Hoskins,153513,Gary K. Wolf
Katsuhiro Ôtomo,Animation,553171,Akira,R,124,8.1,Nozomu Sasaki,118747,Katsuhiro Ôtomo
Penny Marshall,Comedy,114968774,Big,PG,104,7.3,Tom Hanks,164257,Gary Ross
Roger Donaldson,Comedy,78222753,Cocktail,R,104,5.8,Tom Cruise,65825,Heywood Gould
Giuseppe Tornatore,Drama,11990401,Cinema Paradiso,R,155,8.5,Philippe Noiret,171600,Giuseppe Tornatore
Chuck Russell,Horror,8247943,The Blob,R,95,6.4,Shawnee Smith,24931,Theodore Simonson
Stan Winston,Fantasy,4385516,Pumpkinhead,R,86,6.2,Lance Henriksen,15572,Ed Justin
Charles Crichton,Comedy,63493712,A Fish Called Wanda,R,108,7.6,John Cleese,114144,John Cleese
Stephen Chiodo,Comedy,15625095,Killer Klowns from Outer Space,PG-13,88,6.1,Grant Cramer,25440,Charles Chiodo
Martin Brest,Action,38413606,Midnight Run,R,126,7.6,Robert De Niro,58318,George Gallo
Tony Randel,Horror,11090735,Hellbound: Hellraiser II,R,97,6.5,Doug Bradley,33241,Clive Barker
Alan Parker,Crime,34603943,Mississippi Burning,R,128,7.8,Gene Hackman,70539,Chris Gerolmo
David Zucker,Comedy,78041829,The Naked Gun: From the Files of Police Squad!,PG-13,85,7.6,Leslie Nielsen,124515,Jerry Zucker
Newt Arnold,Action,11806119,Bloodsport,R,92,6.8,Jean-Claude Van Damme,63368,Sheldon Lettich
Mike Nichols,Comedy,64000000,Working Girl,R,113,6.7,Melanie Griffith,44277,Kevin Wade
John Cornell,Action,109305000,Crocodile Dundee II,PG,108,5.5,Paul Hogan,46738,Paul Hogan
Don Bluth,Animation,48092846,The Land Before Time,G,69,7.4,Pat Hingle,66623,Stu Krieger
Ivan Reitman,Comedy,111936400,Twins,PG,107,6,Arnold Schwarzenegger,94295,William Davies
Stephen Frears,Drama,34700000,Dangerous Liaisons,R,119,7.7,Glenn Close,55823,Christopher Hampton
Philip Kaufman,Drama,10006806,The Unbearable Lightness of Being,R,171,7.4,Daniel Day-Lewis,28868,Milan Kundera
Luc Besson,Adventure,3500000,The Big Blue,R,168,7.6,Jean-Marc Barr,40755,Luc Besson
Garry Marshall,Comedy,57041866,Beaches,PG-13,123,6.8,Bette Midler,19613,Iris Rainer
Dwight H. Little,Horror,17768757,Halloween 4: The Return of Michael Myers,R,88,5.9,Donald Pleasence,32498,Dhani Lipsius
Christopher Cain,Action,45661556,Young Guns,R,107,6.8,Emilio Estevez,45768,John Fusco
Walter Hill,Action,34994648,Red Heat,R,104,6,Arnold Schwarzenegger,53769,Walter Hill
Donald Petrie,Comedy,12793213,Mystic Pizza,R,104,6.2,Annabeth Gish,20071,Amy Holden Jones
Peter MacDonald,Action,53715611,Rambo III,R,102,5.7,Sylvester Stallone,99555,David Morrell
Jonathan Kaplan,Drama,32069318,Acusados,R,111,7.1,Kelly McGillis,26126,Tom Topor
Martin Scorsese,Drama,7630564,The Last Temptation of Christ,R,164,7.6,Willem Dafoe,42782,Nikos Kazantzakis
John Waters,Comedy,6671108,Hairspray,PG,92,7,Sonny Bono,17169,John Waters
Frank Oz,Comedy,42039085,Dirty Rotten Scoundrels,PG,110,7.3,Steve Martin,54129,Dale Launer
Renny Harlin,Horror,49369899,A Nightmare on Elm Street 4: The Dream Master,R,93,5.7,Robert Englund,39701,Wes Craven
Ramón Menéndez,Drama,13994920,Stand and Deliver,PG,103,7.3,Edward James Olmos,13270,Ramón Menéndez
Howard Deutch,Comedy,41455230,The Great Outdoors,PG,91,6.6,Dan Aykroyd,31340,John Hughes
Zalman King,Drama,1547397,Two Moon Junction,R,104,5,Sherilyn Fenn,4303,Zalman King
Ron Shelton,Comedy,50888729,Bull Durham,R,108,7.1,Kevin Costner,39369,Ron Shelton
Andrew Davis,Action,18869631,Above the Law,R,99,6,Steven Seagal,24061,Andrew Davis
Julien Temple,Comedy,3916303,Earth Girls Are Easy,PG,100,5.2,Geena Davis,17315,Julie Brown
George Scribner,Animation,74151346,Oliver & Company,G,74,6.7,Joey Lawrence,35531,Jim Cox
Buddy Van Horn,Action,37903295,The Dead Pool,R,91,6.3,Clint Eastwood,33312,Harry Julian Fink
James Signorelli,Comedy,5596267,Elvira: Mistress of the Dark,PG-13,96,6.4,Cassandra Peterson,9751,Sam Egan
Richard Donner,Comedy,60328558,Scrooged,PG-13,101,7,Bill Murray,68098,Mitch Glazer
Robert Towne,Crime,41292551,Tequila Sunrise,R,115,6,Mel Gibson,24708,Robert Towne
Roman Polanski,Crime,17637950,Frantic,R,120,6.9,Harrison Ford,41608,Roman Polanski
John Carl Buechler,Horror,19170001,Friday the 13th Part VII: The New Blood,R,88,5.3,Jennifer Banko,23959,Daryl Haney
Greg Beeman,Comedy,22433275,License to Drive,PG-13,88,6.3,Corey Haim,14929,Neil Tolkin
Terry Gilliam,Adventure,8083123,The Adventures of Baron Munchausen,PG,126,7.2,John Neville,43852,Charles McKeown
David Cronenberg,Drama,9134733,Dead Ringers,R,116,7.3,Jeremy Irons,32130,David Cronenberg
Gary Sherman,Horror,14114488,Poltergeist III,PG-13,98,4.6,Heather O'Rourke,14165,Gary Sherman
Tommy Lee Wallace,Comedy,2983784,Fright Night Part 2,R,104,5.9,William Ragsdale,9005,Tom Holland
Keenen Ivory Wayans,Action,13030057,I'm Gonna Git You Sucka,R,88,6.6,Keenen Ivory Wayans,10455,Keenen Ivory Wayans
Bud S. Smith,Comedy,17550399,Johnny Be Good,R,91,4.5,Anthony Michael Hall,5006,Steve Zacharias
William Lustig,Action,671382,Maniac Cop,R,85,6,Tom Atkins,10850,Larry Cohen
Jonathan Demme,Comedy,21486757,Married to the Mob,R,104,6.1,Michelle Pfeiffer,13416,Barry Strugatz
Dennis Hopper,Action,46616067,Colors,R,120,6.7,Sean Penn,20490,Michael Schiffer
Neil Jordan,Comedy,8578231,El Hotel de los Fantasmas,PG-13,99,5.7,Peter O'Toole,6979,Neil Jordan
Sidney Lumet,Crime,2835116,Running on Empty,PG-13,116,7.7,River Phoenix,11312,Naomi Foner
Kevin Tenney,Comedy,3109904,Night of the Demons,R,90,6.3,Cathy Podewell,9897,Joe Augustyn
Stewart Raffill,Adventure,6424112,Mac and Me,PG,95,3.4,Christine Ebersole,8043,Stewart Raffill
Mick Garris,Comedy,3813293,Critters 2,PG-13,86,5.3,Scott Grimes,11122,David Twohy
Richard Benjamin,Comedy,13854000,My Stepmother Is an Alien,PG-13,105,5.2,Dan Aykroyd,22281,Jerico
Ken Wiederhorn,Comedy,9205924,Return of the Living Dead II,R,89,5.8,James Karen,14998,Ken Wiederhorn
Kenneth Johnson,Comedy,21630088,Short Circuit 2,PG,110,5.6,Fisher Stevens,19841,Brent Maddock
Michael Apted,Biography,24720479,Gorillas in the Mist,PG-13,129,7,Sigourney Weaver,20378,Harold T.P. Hayes
Robert Bierman,Comedy,725131,Vampire's Kiss,R,103,5.9,Nicolas Cage,10474,Joseph Minion
William Richert,Comedy,6264058,A Night in the Life of Jimmy Reardon,R,90,5.5,River Phoenix,2177,William Richert
Michael Hoffman,Comedy,401421,Some Girls,R,94,6,Patrick Dempsey,2369,Rupert Walters
Ken Russell,Comedy,1189315,The Lair of the White Worm,R,93,5.9,Amanda Donohoe,7908,Ken Russell
Anthony Hickox,Comedy,808114,Waxwork,R,95,6.2,Zach Galligan,8703,Anthony Hickox
Wes Craven,Fantasy,19595031,The Serpent and the Rainbow,R,98,6.5,Bill Pullman,18528,Wade Davis
Ken Annakin,Family,3569939,Las travesuras de una pelirojja,G,100,5.9,Tami Erin,3474,Astrid Lindgren
John Sayles,Drama,5680515,Eight Men Out,PG,119,7.3,John Cusack,15946,Eliot Asinof
Frank LaLoggia,Fantasy,1705139,Lady in White,PG-13,113,6.7,Lukas Haas,5135,Frank LaLoggia
Pedro Almodóvar,Comedy,7179298,Women on the Verge of a Nervous Breakdown,R,88,7.6,Carmen Maura,27755,Pedro Almodóvar
John Hughes,Comedy,16031707,She's Having a Baby,PG-13,106,5.8,Kevin Bacon,9676,John Hughes
Don Coscarelli,Action,7282851,Phantasm II,R,97,6.5,James Le Gros,10789,Don Coscarelli
James Bridges,Drama,16118077,Luces de una gran ciudad,R,107,5.6,Michael J. Fox,6165,Jay McInerney
Peter Hyams,Action,20036242,The Presidio,R,97,6,Sean Connery,13900,Larry Ferguson
